date,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
2024-06-16,18.9345,23.955332,19.849081,18.890749,19.361582,19.005333
2024-06-17,20.122,25.326166,21.147001,20.192831,20.80533,21.086582
2024-06-18,18.303247,26.140749,22.90325,22.792831,23.278252,22.4345
2024-06-19,17.2845,26.457415,23.982416,23.911583,24.994913,18.807417
2024-06-20,16.0845,27.494917,19.301168,25.351168,22.567833,18.847
2024-06-21,16.753252,25.669914,21.015749,26.05533,25.474083,21.130331
2024-06-22,19.757418,25.859497,23.211584,24.601168,22.224083,23.511581
2024-06-23,19.136583,25.430336,23.792831,20.315752,21.507418,22.524084
2024-06-24,17.249083,22.711584,20.95533,22.124086,21.144915,24.932417
2024-06-25,19.169918,21.830336,23.657412,23.140753,21.828253,26.584497
2024-06-26,20.678251,23.172003,26.338667,20.382416,22.488665,23.71575
2024-06-27,23.015749,24.776169,26.390749,18.699083,22.388666,22.1345
2024-06-28,24.271997,27.222,27.75325,20.878252,23.499084,25.053251
2024-06-29,19.542833,22.19075,28.319918,22.636583,25.974083,24.449081
2024-06-30,20.544916,19.844917,27.084496,21.782417,27.367834,23.313665
2024-07-01,23.819916,18.919912,20.74075,22.234499,22.328249,24.644915
2024-07-02,23.986582,20.030334,23.705336,21.921999,19.567833,27.105331
2024-07-03,20.17825,21.376165,26.742834,23.303251,18.313665,23.140747
2024-07-04,21.032417,21.811584,20.922003,23.482414,19.455332,22.467833
2024-07-05,23.051165,24.786583,20.844915,21.794916,22.1595,25.255331
2024-07-06,23.203245,25.772001,19.576166,22.984499,25.394915,19.438665
2024-07-07,17.253252,28.436586,19.326168,23.463669,24.169912,16.544916
2024-07-08,19.124084,24.107416,19.584501,25.5595,23.319916,16.361582
2024-07-09,21.699081,22.046999,17.232416,27.396997,26.261581,17.990747
2024-07-10,25.64283,21.444918,17.722,25.761581,28.417831,18.736584
2024-07-11,18.742834,22.017832,19.513666,25.882418,26.978249,18.749083
2024-07-12,17.001167,26.128252,23.524084,23.52408,27.580336,22.859503
2024-07-13,18.292833,24.18867,27.532417,23.444914,24.14283,24.690748
2024-07-14,18.667833,21.501165,21.524084,25.834497,24.857414,25.119917
2024-07-15,20.144917,23.990747,21.113668,28.099085,27.140749,21.226166
2024-07-16,18.924084,24.51783,20.336584,26.338667,27.196997,18.161581
2024-07-17,18.0595,23.780334,21.947,25.226168,25.703245,18.374083
2024-07-18,17.074083,23.572,25.4345,25.830336,25.724085,21.461584
2024-07-19,19.088667,19.880333,27.438662,23.494917,26.307417,24.859499
2024-07-20,22.224083,20.06367,28.953247,20.149084,23.009499,24.81367
2024-07-21,22.584501,21.411583,28.661581,21.265749,25.211584,22.149084
2024-07-22,22.434502,21.688665,28.676168,23.476166,25.794914,22.851166
2024-07-23,21.936583,23.109499,26.259499,25.788668,25.444916,23.255333
2024-07-24,21.597,22.730333,26.122002,20.494917,23.303247,22.711584
2024-07-25,20.91992,23.963663,21.946999,17.197,21.703253,21.151167
2024-07-26,21.83658,24.663664,21.3095,18.740751,22.680334,19.482416
2024-07-27,23.27825,25.363668,22.471998,22.207415,26.078247,20.055334
2024-07-28,26.192833,23.29075,23.513664,23.282417,24.805334,19.451166
2024-07-29,23.609503,25.109497,20.276167,21.928247,21.832418,19.426165
2024-07-30,24.847,23.997,19.553253,21.288668,21.71158,19.488668
